"","y"
"1",0.029
"2",0.04
"3",0.042
"4",0.046
"5",0.039
"6",0.034
"7",0.032
"8",0.023
"9",0.019
"10",0.012
"11",0.004
"12",0.008
"13",0.011
"14",0.013
"15",0.009
"16",0.004
"17",0.006
"18",0.011
"19",0.019
"20",0.024
"21",0.02
"22",0.018
"23",0.015
"24",0.015
"25",0.021
"26",0.023
"27",0.029
"28",0.035
"29",0.033
"30",0.038
"31",0.036
"32",0.032
"33",0.03
"34",0.023
"35",0.023
"36",0.011
"37",0.002
"38",-0.021
"39",-0.057
"40",-0.054
"41",-0.045
"42",-0.023
"43",0.012
"44",0.023
"45",0.023
"46",0.024
"47",0.03
"48",0.02
"49",0.017
"50",0.007
"51",-0.005
"52",-0.008
"53",-0.01
"54",-0.01
"55",-0.012
"56",-0.002
"57",0.002
"58",0.009
"59",0.017
"60",0.012
"61",0.014
"62",0.014
"63",0.017
"64",0.02
"65",0.019
"66",0.02
"67",0.019
"68",0.017
"69",0.017
"70",0.019
"71",0.022
"72",0.027
"73",0.03
"74",0.031
"75",0.023
"76",0.02
"77",0.013
"78",0.012
"79",0.019
"80",0.017
"81",0.019
"82",0.012
"83",-0.029
"84",-0.139
"85",-0.04
"86",-0.039
"87",-0.002
"88",0.149
"89",0.049
"90",0.054
"91",0.056
"92",0.041
"93",0.025
"94",0.019
"95",0.013
"96",0.005
"97",0.001
"98",0.002
"99",0.004
