DATE,TIME PERIOD,(LFSI.Q.I9.S.UNEHRT.TOTAL0.15_74.T)
3/31/2000,2000Q1,9.350491
6/30/2000,2000Q2,9.128385
9/30/2000,2000Q3,8.982855
12/31/2000,2000Q4,8.751533
3/31/2001,2001Q1,8.532046
6/30/2001,2001Q2,8.472436
9/30/2001,2001Q3,8.476124
12/31/2001,2001Q4,8.551301
3/31/2002,2002Q1,8.580738
6/30/2002,2002Q2,8.667739
9/30/2002,2002Q3,8.814401
12/31/2002,2002Q4,8.949352
3/31/2003,2003Q1,9.125654
6/30/2003,2003Q2,9.196725
9/30/2003,2003Q3,9.192352
12/31/2003,2003Q4,9.236592
3/31/2004,2004Q1,9.405611
6/30/2004,2004Q2,9.396697
9/30/2004,2004Q3,9.38603
12/31/2004,2004Q4,9.406562
3/31/2005,2005Q1,9.289961
6/30/2005,2005Q2,9.328363
9/30/2005,2005Q3,9.197183
12/31/2005,2005Q4,9.10843
3/31/2006,2006Q1,8.900251
6/30/2006,2006Q2,8.611053
9/30/2006,2006Q3,8.375463
12/31/2006,2006Q4,8.150725
3/31/2007,2007Q1,7.902992
6/30/2007,2007Q2,7.650918
9/30/2007,2007Q3,7.581592
12/31/2007,2007Q4,7.448177
3/31/2008,2008Q1,7.376234
6/30/2008,2008Q2,7.519613
9/30/2008,2008Q3,7.672594
12/31/2008,2008Q4,8.115263
3/31/2009,2009Q1,9.042667
6/30/2009,2009Q2,9.60569
9/30/2009,2009Q3,9.889234
12/31/2009,2009Q4,10.127625
3/31/2010,2010Q1,10.261741
6/30/2010,2010Q2,10.337534
9/30/2010,2010Q3,10.240203
12/31/2010,2010Q4,10.221192
3/31/2011,2011Q1,10.117768
6/30/2011,2011Q2,10.080976
9/30/2011,2011Q3,10.352588
12/31/2011,2011Q4,10.701664
3/31/2012,2012Q1,11.042347
6/30/2012,2012Q2,11.396948
9/30/2012,2012Q3,11.622456
12/31/2012,2012Q4,11.961547
3/31/2013,2013Q1,12.222062
6/30/2013,2013Q2,12.203272
9/30/2013,2013Q3,12.129086
12/31/2013,2013Q4,12.049445
3/31/2014,2014Q1,11.998183
6/30/2014,2014Q2,11.723651
9/30/2014,2014Q3,11.6124
12/31/2014,2014Q4,11.584931
3/31/2015,2015Q1,11.337191
6/30/2015,2015Q2,11.133132
9/30/2015,2015Q3,10.77511
12/31/2015,2015Q4,10.632513
3/31/2016,2016Q1,10.419423
6/30/2016,2016Q2,10.237652
9/30/2016,2016Q3,9.984664
12/31/2016,2016Q4,9.821053
3/31/2017,2017Q1,9.548434
6/30/2017,2017Q2,9.23796
9/30/2017,2017Q3,9.016912
12/31/2017,2017Q4,8.76025
3/31/2018,2018Q1,8.598147
6/30/2018,2018Q2,8.335908
9/30/2018,2018Q3,8.055374
12/31/2018,2018Q4,7.943191
3/31/2019,2019Q1,7.794483
6/30/2019,2019Q2,7.638727
9/30/2019,2019Q3,7.475482
12/31/2019,2019Q4,7.457858
3/31/2020,2020Q1,7.331305
6/30/2020,2020Q2,7.707434
9/30/2020,2020Q3,8.548417
12/31/2020,2020Q4,8.248989
3/31/2021,2021Q1,8.241401
6/30/2021,2021Q2,8.092829
9/30/2021,2021Q3,7.548543
12/31/2021,2021Q4,7.129136
3/31/2022,2022Q1,6.856492
6/30/2022,2022Q2,6.759613
9/30/2022,2022Q3,6.698544
12/31/2022,2022Q4,6.685564
3/31/2023,2023Q1,6.606383
6/30/2023,2023Q2,6.50306
9/30/2023,2023Q3,6.561323
12/31/2023,2023Q4,6.538634
3/31/2024,2024Q1,6.517062
6/30/2024,2024Q2,6.455662
