DATE,x
2/1/1979,0
3/1/1979,-0.1
4/1/1979,0
5/1/1979,-0.2
6/1/1979,0.1
7/1/1979,0
8/1/1979,0.3
9/1/1979,-0.1
10/1/1979,0.1
11/1/1979,-0.1
12/1/1979,0.1
1/1/1980,0.3
2/1/1980,0
3/1/1980,0
4/1/1980,0.6
5/1/1980,0.6
6/1/1980,0.1
7/1/1980,0.2
8/1/1980,-0.1
9/1/1980,-0.2
10/1/1980,0
11/1/1980,0
12/1/1980,-0.3
1/1/1981,0.3
2/1/1981,-0.1
3/1/1981,0
4/1/1981,-0.2
5/1/1981,0.3
6/1/1981,0
7/1/1981,-0.3
8/1/1981,0.2
9/1/1981,0.2
10/1/1981,0.3
11/1/1981,0.4
12/1/1981,0.2
1/1/1982,0.1
2/1/1982,0.3
3/1/1982,0.1
4/1/1982,0.3
5/1/1982,0.1
6/1/1982,0.2
7/1/1982,0.2
8/1/1982,0
9/1/1982,0.3
10/1/1982,0.3
11/1/1982,0.4
12/1/1982,0
1/1/1983,-0.4
2/1/1983,0
3/1/1983,-0.1
4/1/1983,-0.1
5/1/1983,-0.1
6/1/1983,0
7/1/1983,-0.7
8/1/1983,0.1
9/1/1983,-0.3
10/1/1983,-0.4
11/1/1983,-0.3
12/1/1983,-0.2
1/1/1984,-0.3
2/1/1984,-0.2
3/1/1984,0
4/1/1984,-0.1
5/1/1984,-0.3
6/1/1984,-0.2
7/1/1984,0.3
8/1/1984,0
9/1/1984,-0.2
10/1/1984,0.1
11/1/1984,-0.2
12/1/1984,0.1
1/1/1985,0
2/1/1985,-0.1
3/1/1985,0
4/1/1985,0.1
5/1/1985,-0.1
6/1/1985,0.2
7/1/1985,0
8/1/1985,-0.3
9/1/1985,0
10/1/1985,0
11/1/1985,-0.1
12/1/1985,0
1/1/1986,-0.3
2/1/1986,0.5
3/1/1986,0
4/1/1986,-0.1
5/1/1986,0.1
6/1/1986,0
7/1/1986,-0.2
8/1/1986,-0.1
9/1/1986,0.1
10/1/1986,0
11/1/1986,-0.1
12/1/1986,-0.3
1/1/1987,0
2/1/1987,0
3/1/1987,0
4/1/1987,-0.3
5/1/1987,0
6/1/1987,-0.1
7/1/1987,-0.1
8/1/1987,-0.1
9/1/1987,-0.1
10/1/1987,0.1
11/1/1987,-0.2
12/1/1987,-0.1
1/1/1988,0
2/1/1988,0
3/1/1988,0
4/1/1988,-0.3
5/1/1988,0.2
6/1/1988,-0.2
7/1/1988,0
8/1/1988,0.2
9/1/1988,-0.2
10/1/1988,0
11/1/1988,-0.1
12/1/1988,0
1/1/1989,0.1
2/1/1989,-0.2
3/1/1989,-0.2
4/1/1989,0.2
5/1/1989,0
6/1/1989,0.1
7/1/1989,-0.1
8/1/1989,0
9/1/1989,0.1
10/1/1989,0
11/1/1989,0.1
12/1/1989,0
1/1/1990,0
2/1/1990,-0.1
3/1/1990,-0.1
4/1/1990,0.2
5/1/1990,0
6/1/1990,-0.2
7/1/1990,0.3
8/1/1990,0.2
9/1/1990,0.2
10/1/1990,0
11/1/1990,0.3
12/1/1990,0.1
1/1/1991,0.1
2/1/1991,0.2
3/1/1991,0.2
4/1/1991,-0.1
5/1/1991,0.2
6/1/1991,0
7/1/1991,-0.1
8/1/1991,0.1
9/1/1991,0
10/1/1991,0.1
11/1/1991,0
12/1/1991,0.3
1/1/1992,0
2/1/1992,0.1
3/1/1992,0
4/1/1992,0
5/1/1992,0.2
6/1/1992,0.2
7/1/1992,-0.1
8/1/1992,-0.1
9/1/1992,0
10/1/1992,-0.3
11/1/1992,0.1
12/1/1992,0
1/1/1993,-0.1
2/1/1993,-0.2
3/1/1993,-0.1
4/1/1993,0.1
5/1/1993,0
6/1/1993,-0.1
7/1/1993,-0.1
8/1/1993,-0.1
9/1/1993,-0.1
10/1/1993,0.1
11/1/1993,-0.2
12/1/1993,-0.1
1/1/1994,0.1
2/1/1994,0
3/1/1994,-0.1
4/1/1994,-0.1
5/1/1994,-0.3
6/1/1994,0
7/1/1994,0
8/1/1994,-0.1
9/1/1994,-0.1
10/1/1994,-0.1
11/1/1994,-0.2
12/1/1994,-0.1
1/1/1995,0.1
2/1/1995,-0.2
3/1/1995,0
4/1/1995,0.4
5/1/1995,-0.2
6/1/1995,0
7/1/1995,0.1
8/1/1995,0
9/1/1995,-0.1
10/1/1995,-0.1
11/1/1995,0.1
12/1/1995,0
1/1/1996,0
2/1/1996,-0.1
3/1/1996,0
4/1/1996,0.1
5/1/1996,0
6/1/1996,-0.3
7/1/1996,0.2
8/1/1996,-0.4
9/1/1996,0.1
10/1/1996,0
11/1/1996,0.2
12/1/1996,0
1/1/1997,-0.1
2/1/1997,-0.1
3/1/1997,0
4/1/1997,-0.1
5/1/1997,-0.2
6/1/1997,0.1
7/1/1997,-0.1
8/1/1997,-0.1
9/1/1997,0.1
10/1/1997,-0.2
11/1/1997,-0.1
12/1/1997,0.1
1/1/1998,-0.1
2/1/1998,0
3/1/1998,0.1
4/1/1998,-0.4
5/1/1998,0.1
6/1/1998,0.1
7/1/1998,0
8/1/1998,0
9/1/1998,0.1
10/1/1998,-0.1
11/1/1998,-0.1
12/1/1998,0
1/1/1999,-0.1
2/1/1999,0.1
3/1/1999,-0.2
4/1/1999,0.1
5/1/1999,-0.1
6/1/1999,0.1
7/1/1999,0
8/1/1999,-0.1
9/1/1999,0
10/1/1999,-0.1
11/1/1999,0
12/1/1999,-0.1
1/1/2000,0
2/1/2000,0.1
3/1/2000,-0.1
4/1/2000,-0.2
5/1/2000,0.2
6/1/2000,0
7/1/2000,0
8/1/2000,0.1
9/1/2000,-0.2
10/1/2000,0
11/1/2000,0
12/1/2000,0
1/1/2001,0.3
2/1/2001,0
3/1/2001,0.1
4/1/2001,0.1
5/1/2001,-0.1
6/1/2001,0.2
7/1/2001,0.1
8/1/2001,0.3
9/1/2001,0.1
10/1/2001,0.3
11/1/2001,0.2
12/1/2001,0.2
1/1/2002,0
2/1/2002,0
3/1/2002,0
4/1/2002,0.2
5/1/2002,-0.1
6/1/2002,0
7/1/2002,0
8/1/2002,-0.1
9/1/2002,0
10/1/2002,0
11/1/2002,0.2
12/1/2002,0.1
1/1/2003,-0.2
2/1/2003,0.1
3/1/2003,0
4/1/2003,0.1
5/1/2003,0.1
6/1/2003,0.2
7/1/2003,-0.1
8/1/2003,-0.1
9/1/2003,0
10/1/2003,-0.1
11/1/2003,-0.2
12/1/2003,-0.1
1/1/2004,0
2/1/2004,-0.1
3/1/2004,0.2
4/1/2004,-0.2
5/1/2004,0
6/1/2004,0
7/1/2004,-0.1
8/1/2004,-0.1
9/1/2004,0
10/1/2004,0.1
11/1/2004,-0.1
12/1/2004,0
1/1/2005,-0.1
2/1/2005,0.1
3/1/2005,-0.2
4/1/2005,0
5/1/2005,-0.1
6/1/2005,-0.1
7/1/2005,0
8/1/2005,-0.1
9/1/2005,0.1
10/1/2005,0
11/1/2005,0
12/1/2005,-0.1
1/1/2006,-0.2
2/1/2006,0.1
3/1/2006,-0.1
4/1/2006,0
5/1/2006,-0.1
6/1/2006,0
7/1/2006,0.1
8/1/2006,0
9/1/2006,-0.2
10/1/2006,-0.1
11/1/2006,0.1
12/1/2006,-0.1
1/1/2007,0.2
2/1/2007,-0.1
3/1/2007,-0.1
4/1/2007,0.1
5/1/2007,-0.1
6/1/2007,0.2
7/1/2007,0.1
8/1/2007,-0.1
9/1/2007,0.1
10/1/2007,0
11/1/2007,0
12/1/2007,0.3
1/1/2008,0
2/1/2008,-0.1
3/1/2008,0.2
4/1/2008,-0.1
5/1/2008,0.4
6/1/2008,0.2
7/1/2008,0.2
8/1/2008,0.3
9/1/2008,0
10/1/2008,0.4
11/1/2008,0.3
12/1/2008,0.5
1/1/2009,0.5
2/1/2009,0.5
3/1/2009,0.4
4/1/2009,0.3
5/1/2009,0.4
6/1/2009,0.1
7/1/2009,0
8/1/2009,0.1
9/1/2009,0.2
10/1/2009,0.2
11/1/2009,-0.1
12/1/2009,0
1/1/2010,-0.1
2/1/2010,0
3/1/2010,0.1
4/1/2010,0
5/1/2010,-0.3
6/1/2010,-0.2
7/1/2010,0
8/1/2010,0.1
9/1/2010,0
10/1/2010,-0.1
11/1/2010,0.4
12/1/2010,-0.5
1/1/2011,-0.2
2/1/2011,-0.1
3/1/2011,0
4/1/2011,0.1
5/1/2011,-0.1
6/1/2011,0.1
7/1/2011,-0.1
8/1/2011,0
9/1/2011,0
10/1/2011,-0.2
11/1/2011,-0.2
12/1/2011,-0.1
1/1/2012,-0.2
2/1/2012,0
3/1/2012,-0.1
4/1/2012,0
5/1/2012,0
6/1/2012,0
7/1/2012,0
8/1/2012,-0.1
9/1/2012,-0.3
10/1/2012,0
11/1/2012,-0.1
12/1/2012,0.2
1/1/2013,0.1
2/1/2013,-0.3
3/1/2013,-0.2
4/1/2013,0.1
5/1/2013,-0.1
6/1/2013,0
7/1/2013,-0.2
8/1/2013,-0.1
9/1/2013,0
10/1/2013,0
11/1/2013,-0.3
12/1/2013,-0.2
1/1/2014,-0.1
2/1/2014,0.1
3/1/2014,0
4/1/2014,-0.5
5/1/2014,0.1
6/1/2014,-0.2
7/1/2014,0.1
8/1/2014,-0.1
9/1/2014,-0.2
10/1/2014,-0.2
11/1/2014,0.1
12/1/2014,-0.2
1/1/2015,0.1
2/1/2015,-0.2
3/1/2015,-0.1
4/1/2015,0
5/1/2015,0.2
6/1/2015,-0.3
7/1/2015,-0.1
8/1/2015,-0.1
9/1/2015,-0.1
10/1/2015,0
11/1/2015,0.1
12/1/2015,-0.1
1/1/2016,-0.2
2/1/2016,0.1
3/1/2016,0.1
4/1/2016,0.1
5/1/2016,-0.3
6/1/2016,0.1
7/1/2016,-0.1
8/1/2016,0.1
9/1/2016,0.1
10/1/2016,-0.1
11/1/2016,-0.2
12/1/2016,0
1/1/2017,0
2/1/2017,-0.1
3/1/2017,-0.2
4/1/2017,0
5/1/2017,0
6/1/2017,-0.1
7/1/2017,0
8/1/2017,0.1
9/1/2017,-0.1
10/1/2017,-0.1
11/1/2017,0
12/1/2017,-0.1
1/1/2018,-0.1
2/1/2018,0.1
3/1/2018,-0.1
4/1/2018,0
5/1/2018,-0.2
6/1/2018,0.2
7/1/2018,-0.2
8/1/2018,0
9/1/2018,-0.1
10/1/2018,0.1
11/1/2018,0
12/1/2018,0.1
1/1/2019,0.1
2/1/2019,-0.2
3/1/2019,0
4/1/2019,-0.1
5/1/2019,-0.1
6/1/2019,0
7/1/2019,0.1
8/1/2019,-0.1
9/1/2019,-0.1
10/1/2019,0.1
11/1/2019,0
12/1/2019,0
1/1/2020,0
2/1/2020,-0.1
3/1/2020,0.9
4/1/2020,10.4
5/1/2020,-1.6
6/1/2020,-2.2
7/1/2020,-0.8
8/1/2020,-1.8
9/1/2020,-0.6
10/1/2020,-1
11/1/2020,-0.1
12/1/2020,0
1/1/2021,-0.3
2/1/2021,-0.2
3/1/2021,-0.1
4/1/2021,0
5/1/2021,-0.3
6/1/2021,0.1
7/1/2021,-0.5
8/1/2021,-0.3
9/1/2021,-0.4
10/1/2021,-0.2
11/1/2021,-0.4
12/1/2021,-0.2
1/1/2022,0.1
2/1/2022,-0.2
3/1/2022,-0.2
4/1/2022,0.1
5/1/2022,-0.1
6/1/2022,0
7/1/2022,-0.1
8/1/2022,0.1
9/1/2022,-0.1
10/1/2022,0.1
11/1/2022,0
12/1/2022,-0.1
1/1/2023,-0.1
2/1/2023,0.2
3/1/2023,-0.1
4/1/2023,-0.1
5/1/2023,0.3
6/1/2023,-0.1
7/1/2023,-0.1
8/1/2023,0.3
9/1/2023,0
10/1/2023,0
11/1/2023,-0.1
12/1/2023,0
1/1/2024,0
2/1/2024,0.2
3/1/2024,-0.1
4/1/2024,0.1
5/1/2024,0.1
6/1/2024,0.1
7/1/2024,0.2
8/1/2024,-0.1
